name,link,get image
Laptop MSI Katana 15 B13VEK-2256VN,https://cellphones.com.vn/laptop-msi-katana-15-b13vek-2256vn.html,True
Laptop ASUS ExpertBook P5 P5405CSA-NZ0016W,https://cellphones.com.vn/laptop-asus-expertbook-p5-p5405csa-nz0016w.html,True
Laptop Lenovo Ideapad Slim 5 14IMH9 83DA006UVN,https://cellphones.com.vn/laptop-lenovo-ideapad-slim-5-14imh9-83da006uvn.html,True
Laptop Lenovo LOQ 15IAX9 83GS001QVN,https://cellphones.com.vn/laptop-lenovo-loq-15iax9-83gs001qvn.html,True
Laptop Gigabyte G6 MF-H2VN854KH,https://cellphones.com.vn/laptop-gigabyte-g6-mf-h2vn854kh.html,True
Laptop Gaming Acer Nitro V ANV15-51-55CA,https://cellphones.com.vn/laptop-gaming-acer-nitro-v-anv15-51-55ca.html,True
Laptop Lenovo LOQ 15ARP9 83JC003VVN,https://cellphones.com.vn/laptop-lenovo-loq-15arp9-83jc003vvn.html,True
Laptop Dell Inspiron 14 5440 N5440-C5U165W11IBD2,https://cellphones.com.vn/laptop-dell-inspiron-14-5440-n5440-c5u165w11ibd2.html,True
Laptop ASUS Vivobook S 14 OLED S5406MA-PP046WS,https://cellphones.com.vn/laptop-asus-vivoboook-s-14-oled-s5406ma-pp046ws.html,True
Laptop ASUS TUF Gaming A15 FA507NUR-LP101W,https://cellphones.com.vn/laptop-asus-tuf-gaming-a15-fa507nur-lp101w.html,True
Laptop MSI Gaming Bravo 15 C7VFK-275VN,https://cellphones.com.vn/laptop-msi-gaming-bravo-15-c7vfk-275vn.html,True
Laptop Gaming Acer Nitro V ANV15-51-72VS NH.QNASV.004,https://cellphones.com.vn/laptop-gaming-acer-nitro-v-anv15-51-72vs.html,True
Laptop HP Pavilion X360 14-EK2017TU 9Z2V5PA,https://cellphones.com.vn/laptop-hp-pavilion-x360-14-ek2017tu-9z2v5pa.html,True
Laptop HP Pavilion 15-EG3112TU 8U6L9PA,https://cellphones.com.vn/laptop-hp-pavilion-15-eg3112tu-8u6l9pa.html,True
Laptop Lenovo Yoga Slim 6 14IRH8 83E00008VN,https://cellphones.com.vn/laptop-lenovo-yoga-slim-6-14irh8-83e00008vn.html,True
Laptop ASUS TUF Gaming A16 Advantage Edition FA617NSR-RL100W,https://cellphones.com.vn/laptop-asus-tuf-gaming-a16-advantage-edition-fa617nsr-rl100w.html,True
Laptop Lenovo Yoga Slim 6 14IRH8 83E0000VVN,https://cellphones.com.vn/laptop-lenovo-yoga-slim-6-14irh8-83e0000vvn.html,True
Laptop Acer Swift Go 14 AI SFG14-73-53X7 NX.KSLSV.001,https://cellphones.com.vn/laptop-acer-swift-go-14-ai-sfg14-73-53x7.html,True
Laptop ASUS Vivobook 15 OLED A1505VA-MA469W,https://cellphones.com.vn/laptop-asus-vivobook-15-oled-a1505va-ma469w.html,True
Laptop MSI Katana 15 B13UDXK-2269VN V2,https://cellphones.com.vn/laptop-msi-katana-15-b13udxk-2269vn-16gb.html,True
Laptop ASUS Vivobook S 15 S5507QA-MA092WS Copilot+ X Plus,https://cellphones.com.vn/laptop-asus-vivobook-s-15-s5507qa-ma092ws-copilot-x-plus.html,True
Laptop Gaming Acer Nitro V ANV15-51-57B2,https://cellphones.com.vn/laptop-gaming-acer-nitro-v-anv15-51-57b2.html,True
Laptop Lenovo IdeaPad Slim 5 15ARP10 83J3002SVN,https://cellphones.com.vn/laptop-lenovo-ideapad-slim-5-15arp10-83j3002svn.html,True
Laptop ASUS VivoBook A515EP-BQ196T,https://cellphones.com.vn/laptop-asus-vivobook-15-a515ep.html,True
